alias,canonical,notes
Kennet & Avon Canal,Kennet & Avon Canal,Canonical
Kennet And Avon Canal,Kennet & Avon Canal,& vs And variant
Cherwell,River Cherwell,Generic shorthand
River Cherwell,River Cherwell,Canonical
Evenlode,River Evenlode,Generic shorthand
River Evenlode,River Evenlode,Canonical
Kennet,River Kennet,Generic shorthand
River Kennet,River Kennet,Canonical
Lee,River Lee,Generic shorthand
River Lee,River Lee,Canonical
The River Lee,River Lee,Definite article variant
Mole,River Mole,Generic shorthand
River Mole,River Mole,Canonical
River Roding,River Roding,Canonical
River Roding(Barking Creek),River Roding,Qualifier variant (exact-string map)
Roding,River Roding,Generic shorthand
The River Roding,River Roding,Definite article variant
River Thames,River Thames,Canonical
Thames,River Thames,Generic shorthand
R.Thames ( Tidal ),River Thames (Tidal),Abbreviation + tidal
Thames Tidal,River Thames (Tidal),Tidal section
Tidal Thames,River Thames (Tidal),Tidal section
